Team	|	Player						|	St.	|	Shots	|	FB	|	FB%
ATL		|	Bogdan Bogdanovic			|	38	|	8		|	4	|	0.5
ATL		|	Clint Capela				|	165	|	22		|	15	|	0.682
ATL		|	De'Andre Hunter				|	143	|	30		|	15	|	0.5
ATL		|	Dejounte Murray				|	172	|	38		|	19	|	0.5
ATL		|	Garrison Mathews			|	36	|	8		|	2	|	0.25
ATL		|	Jalen Johnson				|	19	|	5		|	5	|	1.0
ATL		|	Onyeka Okongwu				|	26	|	3		|	1	|	0.333
ATL		|	Saddiq Bey					|	137	|	37		|	8	|	0.216
ATL		|	Trae Young					|	177	|	38		|	20	|	0.526
ATL		|	Wesley Matthews				|	15	|	2		|	1	|	0.5
BKN		|	Ben Simmons					|	39	|	18		|	10	|	0.556
BKN		|	Cam Thomas					|	25	|	9		|	3	|	0.333
BKN		|	Cameron Johnson				|	81	|	20		|	5	|	0.25
BKN		|	Dorian Finney-Smith			|	162	|	24		|	6	|	0.25
BKN		|	Mikal Bridges				|	194	|	50		|	19	|	0.38
BKN		|	Nic Claxton					|	116	|	19		|	15	|	0.789
BKN		|	Royce O'Neale				|	134	|	23		|	8	|	0.348
BKN		|	Spencer Dinwiddie			|	159	|	26		|	7	|	0.269
BOS		|	Al Horford					|	141	|	37		|	17	|	0.459
BOS		|	Dalano Banton				|	4	|	1		|	0	|	0.0
BOS		|	Derrick White				|	147	|	20		|	4	|	0.2
BOS		|	Jaylen Brown				|	159	|	66		|	34	|	0.515
BOS		|	Jayson Tatum				|	176	|	44		|	20	|	0.455
BOS		|	Jrue Holiday				|	155	|	40		|	22	|	0.55
BOS		|	Kristaps Porzingis			|	136	|	56		|	29	|	0.518
BOS		|	Lamar Stevens				|	39	|	6		|	2	|	0.333
BOS		|	Luke Kornet					|	1	|	0		|	0	|	0
BOS		|	Payton Pritchard			|	5	|	0		|	0	|	0
BOS		|	Sam Hauser					|	12	|	3		|	1	|	0.333
CHA		|	Brandon Miller				|	19	|	2		|	1	|	0.5
CHA		|	Bryce McGowens				|	11	|	3		|	1	|	0.333
CHA		|	Gordon Hayward				|	123	|	30		|	16	|	0.533
CHA		|	Ish Smith					|	3	|	0		|	0	|	0
CHA		|	JT Thor						|	9	|	1		|	0	|	0.0
CHA		|	LaMelo Ball					|	126	|	21		|	7	|	0.333
CHA		|	Mark Williams				|	36	|	6		|	3	|	0.5
CHA		|	Miles Bridges				|	95	|	36		|	13	|	0.361
CHA		|	Nick Richards				|	23	|	3		|	2	|	0.667
CHA		|	P.J. Washington				|	114	|	20		|	7	|	0.35
CHA		|	Terry Rozier				|	154	|	25		|	11	|	0.44
CHA		|	Theo Maledon				|	15	|	1		|	0	|	0.0
CHI		|	Alex Caruso					|	68	|	5		|	4	|	0.8
